"","canal","qualidade","percentual","impressoes"
"247","EPTV (SP)","6.25 Mbps",0,0
"248","TV Morena","0.25 Mbps",0,0
"249","TV Morena","0.75 Mbps",30.77,8
"250","TV Morena","1.25 Mbps",30.77,8
"251","TV Morena","1.75 Mbps",0,0
"252","TV Morena","2.25 Mbps",38.46,10
"253","TV Morena","2.75 Mbps",0,0
"254","TV Morena","3.25 Mbps",0,0
"255","TV Morena","3.75 Mbps",0,0
"256","TV Morena","4.25 Mbps",0,0
"257","TV Morena","4.75 Mbps",0,0
"258","TV Morena","5.25 Mbps",0,0
"259","TV Morena","5.75 Mbps",0,0
"260","TV Morena","6.25 Mbps",0,0
"261","Bis OTT","0.25 Mbps",10,1
"262","Bis OTT","0.75 Mbps",10,1
"263","Bis OTT","1.25 Mbps",0,0
"264","Bis OTT","1.75 Mbps",0,0
"265","Bis OTT","2.25 Mbps",10,1
"266","Bis OTT","2.75 Mbps",0,0
"267","Bis OTT","3.25 Mbps",10,1
"268","Bis OTT","3.75 Mbps",0,0
"269","Bis OTT","4.25 Mbps",0,0
"270","Bis OTT","4.75 Mbps",60,6
"271","Bis OTT","5.25 Mbps",0,0
"272","Bis OTT","5.75 Mbps",0,0
"273","Bis OTT","6.25 Mbps",0,0
"274","RPC","0.25 Mbps",0,0
"275","RPC","0.75 Mbps",81.58,31
"276","RPC","1.25 Mbps",0,0
"277","RPC","1.75 Mbps",0,0
"278","RPC","2.25 Mbps",18.42,7
"279","RPC","2.75 Mbps",0,0
"280","RPC","3.25 Mbps",0,0
"281","RPC","3.75 Mbps",0,0
"282","RPC","4.25 Mbps",0,0
"283","RPC","4.75 Mbps",0,0
"284","RPC","5.25 Mbps",0,0
"285","RPC","5.75 Mbps",0,0
"286","RPC","6.25 Mbps",0,0
"287","SyFy OTT","0.25 Mbps",0,0
"288","SyFy OTT","0.75 Mbps",0,0
"289","SyFy OTT","1.25 Mbps",0,0
"290","SyFy OTT","1.75 Mbps",25,4
"291","SyFy OTT","2.25 Mbps",0,0
"292","SyFy OTT","2.75 Mbps",0,0
"293","SyFy OTT","3.25 Mbps",0,0
"294","SyFy OTT","3.75 Mbps",75,12
"295","SyFy OTT","4.25 Mbps",0,0
"296","SyFy OTT","4.75 Mbps",0,0
"297","SyFy OTT","5.25 Mbps",0,0
"298","SyFy OTT","5.75 Mbps",0,0
"299","SyFy OTT","6.25 Mbps",0,0
"300","Canal Brasil OTT","0.25 Mbps",0,0
"301","Canal Brasil OTT","0.75 Mbps",0,0
"302","Canal Brasil OTT","1.25 Mbps",10.53,2
"303","Canal Brasil OTT","1.75 Mbps",0,0
"304","Canal Brasil OTT","2.25 Mbps",10.53,2
"305","Canal Brasil OTT","2.75 Mbps",0,0
"306","Canal Brasil OTT","3.25 Mbps",21.05,4
"307","Canal Brasil OTT","3.75 Mbps",0,0
"308","Canal Brasil OTT","4.25 Mbps",0,0
"309","Canal Brasil OTT","4.75 Mbps",36.84,7
"310","Canal Brasil OTT","5.25 Mbps",21.05,4
"311","Canal Brasil OTT","5.75 Mbps",0,0
"312","Canal Brasil OTT","6.25 Mbps",0,0
