"","device","player","player_dev","qualidade","percentual","impressoes"
"246","mobile","safari_mobile","safari_mobile_mobile","5.75 Mbps",0,0
"247","mobile","safari_mobile","safari_mobile_mobile","6.25 Mbps",0,0
"248","tv","orsay_lte_2013","orsay_lte_2013_tv","0.25 Mbps",0.74,1
"249","tv","orsay_lte_2013","orsay_lte_2013_tv","0.75 Mbps",9.63,13
"250","tv","orsay_lte_2013","orsay_lte_2013_tv","1.25 Mbps",13.33,18
"251","tv","orsay_lte_2013","orsay_lte_2013_tv","1.75 Mbps",0,0
"252","tv","orsay_lte_2013","orsay_lte_2013_tv","2.25 Mbps",20,27
"253","tv","orsay_lte_2013","orsay_lte_2013_tv","2.75 Mbps",0,0
"254","tv","orsay_lte_2013","orsay_lte_2013_tv","3.25 Mbps",22.96,31
"255","tv","orsay_lte_2013","orsay_lte_2013_tv","3.75 Mbps",1.48,2
"256","tv","orsay_lte_2013","orsay_lte_2013_tv","4.25 Mbps",0,0
"257","tv","orsay_lte_2013","orsay_lte_2013_tv","4.75 Mbps",14.07,19
"258","tv","orsay_lte_2013","orsay_lte_2013_tv","5.25 Mbps",17.78,24
"259","tv","orsay_lte_2013","orsay_lte_2013_tv","5.75 Mbps",0,0
"260","tv","orsay_lte_2013","orsay_lte_2013_tv","6.25 Mbps",0,0
