"","canal","qualidade","percentual","impressoes"
"272","Combate OTT","5.75 Mbps",0,0
"273","Combate OTT","6.25 Mbps",0,0
"274","Mais Globosat OTT","0.25 Mbps",1.59,1
"275","Mais Globosat OTT","0.75 Mbps",6.35,4
"276","Mais Globosat OTT","1.25 Mbps",11.11,7
"277","Mais Globosat OTT","1.75 Mbps",0,0
"278","Mais Globosat OTT","2.25 Mbps",17.46,11
"279","Mais Globosat OTT","2.75 Mbps",0,0
"280","Mais Globosat OTT","3.25 Mbps",23.81,15
"281","Mais Globosat OTT","3.75 Mbps",0,0
"282","Mais Globosat OTT","4.25 Mbps",0,0
"283","Mais Globosat OTT","4.75 Mbps",20.63,13
"284","Mais Globosat OTT","5.25 Mbps",19.05,12
"285","Mais Globosat OTT","5.75 Mbps",0,0
"286","Mais Globosat OTT","6.25 Mbps",0,0
"287","SporTV","0.25 Mbps",0,0
"288","SporTV","0.75 Mbps",7.69,2
"289","SporTV","1.25 Mbps",11.54,3
"290","SporTV","1.75 Mbps",0,0
"291","SporTV","2.25 Mbps",80.77,21
"292","SporTV","2.75 Mbps",0,0
"293","SporTV","3.25 Mbps",0,0
"294","SporTV","3.75 Mbps",0,0
"295","SporTV","4.25 Mbps",0,0
"296","SporTV","4.75 Mbps",0,0
"297","SporTV","5.25 Mbps",0,0
"298","SporTV","5.75 Mbps",0,0
"299","SporTV","6.25 Mbps",0,0
"300","TV Gazeta - ES","0.25 Mbps",0,0
"301","TV Gazeta - ES","0.75 Mbps",33.33,2
"302","TV Gazeta - ES","1.25 Mbps",0,0
"303","TV Gazeta - ES","1.75 Mbps",0,0
"304","TV Gazeta - ES","2.25 Mbps",66.67,4
"305","TV Gazeta - ES","2.75 Mbps",0,0
"306","TV Gazeta - ES","3.25 Mbps",0,0
"307","TV Gazeta - ES","3.75 Mbps",0,0
"308","TV Gazeta - ES","4.25 Mbps",0,0
"309","TV Gazeta - ES","4.75 Mbps",0,0
"310","TV Gazeta - ES","5.25 Mbps",0,0
"311","TV Gazeta - ES","5.75 Mbps",0,0
"312","TV Gazeta - ES","6.25 Mbps",0,0
"313","NSC - SC","0.25 Mbps",0,0
"314","NSC - SC","0.75 Mbps",50,5
"315","NSC - SC","1.25 Mbps",0,0
"316","NSC - SC","1.75 Mbps",0,0
"317","NSC - SC","2.25 Mbps",50,5
"318","NSC - SC","2.75 Mbps",0,0
"319","NSC - SC","3.25 Mbps",0,0
"320","NSC - SC","3.75 Mbps",0,0
"321","NSC - SC","4.25 Mbps",0,0
"322","NSC - SC","4.75 Mbps",0,0
"323","NSC - SC","5.25 Mbps",0,0
"324","NSC - SC","5.75 Mbps",0,0
"325","NSC - SC","6.25 Mbps",0,0
"326","TV Verdes Mares","0.25 Mbps",0,0
"327","TV Verdes Mares","0.75 Mbps",0,0
"328","TV Verdes Mares","1.25 Mbps",0,0
"329","TV Verdes Mares","1.75 Mbps",0,0
"330","TV Verdes Mares","2.25 Mbps",100,1
"331","TV Verdes Mares","2.75 Mbps",0,0
"332","TV Verdes Mares","3.25 Mbps",0,0
"333","TV Verdes Mares","3.75 Mbps",0,0
"334","TV Verdes Mares","4.25 Mbps",0,0
"335","TV Verdes Mares","4.75 Mbps",0,0
"336","TV Verdes Mares","5.25 Mbps",0,0
"337","TV Verdes Mares","5.75 Mbps",0,0
"338","TV Verdes Mares","6.25 Mbps",0,0
"339","VIVA","0.25 Mbps",0,0
"340","VIVA","0.75 Mbps",0,0
"341","VIVA","1.25 Mbps",11.11,1
"342","VIVA","1.75 Mbps",0,0
"343","VIVA","2.25 Mbps",33.33,3
"344","VIVA","2.75 Mbps",0,0
"345","VIVA","3.25 Mbps",55.56,5
"346","VIVA","3.75 Mbps",0,0
"347","VIVA","4.25 Mbps",0,0
"348","VIVA","4.75 Mbps",0,0
"349","VIVA","5.25 Mbps",0,0
"350","VIVA","5.75 Mbps",0,0
"351","VIVA","6.25 Mbps",0,0
"352","RPC","0.25 Mbps",0,0
"353","RPC","0.75 Mbps",100,6
"354","RPC","1.25 Mbps",0,0
"355","RPC","1.75 Mbps",0,0
"356","RPC","2.25 Mbps",0,0
"357","RPC","2.75 Mbps",0,0
"358","RPC","3.25 Mbps",0,0
"359","RPC","3.75 Mbps",0,0
"360","RPC","4.25 Mbps",0,0
"361","RPC","4.75 Mbps",0,0
"362","RPC","5.25 Mbps",0,0
"363","RPC","5.75 Mbps",0,0
"364","RPC","6.25 Mbps",0,0
"365","Inter TV RJ","0.25 Mbps",0,0
"366","Inter TV RJ","0.75 Mbps",0,0
"367","Inter TV RJ","1.25 Mbps",0,0
"368","Inter TV RJ","1.75 Mbps",0,0
"369","Inter TV RJ","2.25 Mbps",100,4
"370","Inter TV RJ","2.75 Mbps",0,0
"371","Inter TV RJ","3.25 Mbps",0,0
"372","Inter TV RJ","3.75 Mbps",0,0
"373","Inter TV RJ","4.25 Mbps",0,0
"374","Inter TV RJ","4.75 Mbps",0,0
"375","Inter TV RJ","5.25 Mbps",0,0
"376","Inter TV RJ","5.75 Mbps",0,0
"377","Inter TV RJ","6.25 Mbps",0,0
"378","TV Rio Sul","0.25 Mbps",0,0
"379","TV Rio Sul","0.75 Mbps",16.67,1
"380","TV Rio Sul","1.25 Mbps",16.67,1
"381","TV Rio Sul","1.75 Mbps",0,0
"382","TV Rio Sul","2.25 Mbps",66.67,4
"383","TV Rio Sul","2.75 Mbps",0,0
"384","TV Rio Sul","3.25 Mbps",0,0
"385","TV Rio Sul","3.75 Mbps",0,0
"386","TV Rio Sul","4.25 Mbps",0,0
"387","TV Rio Sul","4.75 Mbps",0,0
"388","TV Rio Sul","5.25 Mbps",0,0
"389","TV Rio Sul","5.75 Mbps",0,0
"390","TV Rio Sul","6.25 Mbps",0,0
"391","Inter TV MG","0.25 Mbps",0,0
"392","Inter TV MG","0.75 Mbps",0,0
"393","Inter TV MG","1.25 Mbps",0,0
"394","Inter TV MG","1.75 Mbps",0,0
"395","Inter TV MG","2.25 Mbps",100,1
"396","Inter TV MG","2.75 Mbps",0,0
"397","Inter TV MG","3.25 Mbps",0,0
"398","Inter TV MG","3.75 Mbps",0,0
"399","Inter TV MG","4.25 Mbps",0,0
"400","Inter TV MG","4.75 Mbps",0,0
"401","Inter TV MG","5.25 Mbps",0,0
"402","Inter TV MG","5.75 Mbps",0,0
"403","Inter TV MG","6.25 Mbps",0,0
"404","TV Mirante","0.25 Mbps",0,0
"405","TV Mirante","0.75 Mbps",0,0
"406","TV Mirante","1.25 Mbps",0,0
"407","TV Mirante","1.75 Mbps",0,0
"408","TV Mirante","2.25 Mbps",100,6
"409","TV Mirante","2.75 Mbps",0,0
"410","TV Mirante","3.25 Mbps",0,0
"411","TV Mirante","3.75 Mbps",0,0
"412","TV Mirante","4.25 Mbps",0,0
"413","TV Mirante","4.75 Mbps",0,0
"414","TV Mirante","5.25 Mbps",0,0
"415","TV Mirante","5.75 Mbps",0,0
"416","TV Mirante","6.25 Mbps",0,0
"417","TV Tem - Interior SP","0.25 Mbps",0,0
"418","TV Tem - Interior SP","0.75 Mbps",0,0
"419","TV Tem - Interior SP","1.25 Mbps",0,0
"420","TV Tem - Interior SP","1.75 Mbps",0,0
"421","TV Tem - Interior SP","2.25 Mbps",100,1
"422","TV Tem - Interior SP","2.75 Mbps",0,0
"423","TV Tem - Interior SP","3.25 Mbps",0,0
"424","TV Tem - Interior SP","3.75 Mbps",0,0
"425","TV Tem - Interior SP","4.25 Mbps",0,0
"426","TV Tem - Interior SP","4.75 Mbps",0,0
"427","TV Tem - Interior SP","5.25 Mbps",0,0
"428","TV Tem - Interior SP","5.75 Mbps",0,0
"429","TV Tem - Interior SP","6.25 Mbps",0,0
"430","RBS - RS","0.25 Mbps",0,0
"431","RBS - RS","0.75 Mbps",25,1
"432","RBS - RS","1.25 Mbps",25,1
